,label,clean_text
0,anger,point today someone say something remotely kind waterfall burst eye
1,anger,corningfootball game minus relentless
2,anger,game piss game year blood boil time turn stlcards
3,anger,spamvicious find candice candace pout like
4,anger,moocowward mrsajhargreaves melly garybarlow come tweet soreloser
5,anger,moocowward mrsajhargreaves melly garybarlow come tweet bitter soreloser
6,anger,wanna home focus game wanna rage
7,anger,virginmedia disconnect whilst holiday move house october furious
8,anger,virginmedia disconnect whilst holiday move house october
9,anger,wanna smile wanna make frown
10,anger,shae caitlin road rage give anxiety
11,anger,emilsonwheels furious
12,anger,etherealmystic win rag inside mind desire love roll something
13,anger,gonna give police bitch minimum sentence wattch angry
14,anger,gonna give police bitch minimum sentence wattch
15,anger,murder madden
16,anger,nephew see frown face tell beautiful
17,anger,cutefunnyanimal luvcaps sister think know provoke reaction
18,anger,madden video gonna xbox ahole go struggle
19,anger,animosity toward hillary come conspiracy theory perception animosity toward trump base say
20,anger,bmth cancel melbourne show fanfuckingtastic lose day hotel fee happy angry
21,anger,bmth cancel melbourne show fanfuckingtastic lose day hotel fee happy
22,anger,watch amyah throw temper tantrum get something like damnit nothing laugh
23,anger,crystaldiamondo impossible hope unwittingly trigger ferocious side hell hath fury
24,anger,sportingtommo asfcofficial doubt go struggle year moment like payet take sting
25,anger,autocorrect change resent greatly
26,anger,candice great british bake pout head
27,anger,point scorn fury labor nothing address long term detention need resettle asylumseekers manus nauru
28,anger,huge congratulation nicole win brother bbnicole sorry sorry bitter bbmichelle
29,anger,huge congratulation nicole win brother bbnicole sorry sorry bbmichelle
30,anger,fast furious monday
31,anger,sorry burst anti allo spam fuck message launch without encryption default
32,anger,shady jongdae rumour girlfriend go say joy joy bitter
33,anger,shady jongdae rumour girlfriend go say joy joy
34,anger,work yesterday cunt couple tell coffee cold want refund finger front angrily
35,anger,want something furious
36,anger,competition suppose motivate well everytime bitter time philosopher kyos quote success csgo
37,anger,thereval please tell protest injustice require burn beat loot terrible optic toussaintromain true leader
38,anger,xboxmad robotbrush ballmer furious another delivery lose
39,anger,stop track back fuck potato face cunt errrr infuriate angry rooney mufc
40,anger,stop track back fuck potato face cunt errrr infuriate rooney mufc
41,anger,thebarmyarmy look forward next year andybarmyarmy revenge leictershireaway therey
42,anger,thebarmyarmy look forward next year andybarmyarmy leictershireaway therey
43,anger,agirlhasno name mdlmurray shoot black police woman typical looney toon think hillary divide anger chaos
44,anger,believe virginmedia put price already know struggle bill change package
45,anger,believe virginmedia put price already know struggle bill change package rag
46,anger,aggravate outta act lie tell difference dyke rarely hard tell difference
47,anger,could line block germantownbroncos lilleague popwarner bronco usafootball offense lineman
48,anger,star trek online update download fume
49,anger,newageinsiders chaoticwrestlin davienne long make sure tell scar revenge
50,anger,spookyhelder specifically cause resent consider enemy
51,anger,right outside door rage usatoday
52,anger,right outside door usatoday
53,anger,rag hard rocket league game beat start cry laugh hard
54,anger,donlemon listen politician make angry fuck tire political speak career politician patmccrorync
55,anger,bore leave snapchat kikme kikmessage boredaf bore snapchatme snapchat snap country countrygirl
56,anger,bore leave snapchat kikme kikmessage boredaf bore snapchatme snapchat country countrygirl
57,anger,easyjet folk flight go hour late depart get refund please boil
58,anger,easyjet folk flight go hour late depart get refund please
59,anger,louiseannexx fuck house always hold grudge
60,anger,josefcd reddou deven luca supersoniclemon also like incur lily wrath
61,anger,readingfc eflcup remind twenty plenty revenge
62,anger,readingfc eflcup remind twenty plenty
63,anger,twojacksdetail bluelivesmtr rare officer shoot without regard want conscience incite inflame
64,anger,twojacksdetail bluelivesmtr rare officer shoot without regard want conscience incite
65,anger,fakingaleto gerard finally make stair little huff face little little leg
66,anger,happen need smoke burn
67,anger,happen need smoke
68,anger,really wish road rage damn lmaooooo
69,anger,lucymellor idea exhaust tidy room burst cry
70,anger,nahtewilly neither intelligent definitive useful shall name call would like expand offend
71,anger,think together randomly burst cry
72,anger,offend tansorma
73,anger,jamielamieee gerbicapiral dory look burst laugh
74,anger,wellermonica monica write regularly ctysmallholding be never dare buzz sting honey
75,anger,wellermonica monica write regularly ctysmallholding be never dare buzz honey
76,anger,smendler watch fill impotent rage time anything
77,anger,kill spider spray spider gut like horror movie revenge
78,anger,sopandeb johnrobertsfox azizansari stereotype south asian relentless beat reporter
79,anger,alex philip step boil broccoli
80,anger,rohan connolly think high profile female colleague would yhat category massexodus
81,anger,rohan connolly think high profile female colleague would yhat category massexodus bitter
82,anger,whats minute charge insult injury
83,anger,last night earl johnson speak wake progressive democrat transform moral outrage effective political action
84,anger,repeal remove johnson amendment direct affront first amendment constitution
85,anger,hate little girl grow fume
86,anger,hate little girl grow
87,anger,use pawn woman game fret nothing amiss royal theladyofglenco
88,anger,police atlanta rapper shawty kill fiery crash
89,anger,jamierjn political relentless pursuit power
90,anger,gonna chill fake outrage space college
91,anger,almost feel offend think deal know literally anything
92,anger,discriminate generate hate nand hate bind irate
93,anger,weak people revenge strong people forgive intelligent people ignore
94,anger,wanna kill destroy want die want flint back scene anger fuck hatered
95,anger,wanna kill destroy want die want flint back scene fuck hatered
96,anger,wanna kill destroy want die want back scene fuck hatered
97,anger,wanna kill destroy want die want back scene anger fuck hatered
98,anger,use multiple comb simultaneously like call impressive work ohsnap daaamn
99,anger,use multiple comb simultaneously like call impressive work snap ohsnap daaamn
100,anger,nothing relentless beg food
101,anger,madden refund gotta wait day money gotta order fifa
